img_num,label_name,longitude,latitude,acquisition date,FVC,ndvi_mean,ndvi_std,ndvi_median,gndvi_mean,evi_mean,lai_mean,category,Lettuce color,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin,DATE,Illumination
216,R13,34.91625977,32.02518845,21-01-2026,0.1929092407226562,0.8337116,0.06987686,0.8476689,0.8337116,0.9975394,3.4910977,RED_Shade_ids,RED,0.31,0.03,0.3879,0.4841,0.121,0.267,17/12/2025,Shade
216,R14,34.91625977,32.02518845,21-01-2026,0.1929092407226562,0.8118357,0.05597942,0.8213742,0.8118357,0.9225685,3.2198524,RED_Shade_ids,RED,0.57,0.03,0.3571,0.5738,0.143,0.214,17/12/2025,Shade
216,R15,34.91625977,32.02518845,21-01-2026,0.1929092407226562,0.8470662,0.06904798,0.859112,0.8470662,0.9326821,3.2564442,RED_Shade_ids,RED,0.45,0.03,0.3403,0.5243,0.131,0.209,17/12/2025,Shade
216,G1,34.91625977,32.02518845,21-01-2026,0.1929092407226562,0.82999945,0.055873036,0.8395413,0.82999945,0.9637924,3.3690007,GREEN_white_blue_led_ids,GREEN,1.37,0.03,0.1367,0.3499,0.087,0.049,17/12/2025,White+Blue LED
216,G2,34.91625977,32.02518845,21-01-2026,0.1929092407226562,0.7952473,0.072392456,0.7907404,0.7952473,0.9011934,3.1425178,GREEN_white_blue_led_ids,GREEN,1.3,0.03,0.1486,0.4449,0.111,0.037,17/12/2025,White+Blue LED
216,G3,34.91625977,32.02518845,21-01-2026,0.1929092407226562,0.78217375,0.07057484,0.7877576,0.78217375,0.86141986,2.9986165,GREEN_white_blue_led_ids,GREEN,1.02,0.03,0.1177,0.2626,0.066,0.052,17/12/2025,White+Blue LED
216,G4,34.91625977,32.02518845,21-01-2026,0.1929092407226562,0.79136866,0.05337038,0.78902984,0.79136866,0.90283185,3.1484454,GREEN_white_blue_led_ids,GREEN,1.43,0.03,0.136,0.3986,0.1,0.036,17/12/2025,White+Blue LED
216,G5,34.91625977,32.02518845,21-01-2026,0.1929092407226562,0.77217674,0.064065956,0.7891309,0.77217674,0.79503155,2.7584243,GREEN_white_blue_led_ids,GREEN,1.07,0.03,0.1326,0.3809,0.095,0.037,17/12/2025,White+Blue LED
216,G6,34.91625977,32.02518845,21-01-2026,0.1929092407226562,0.77128553,0.06341252,0.7851485,0.77128553,0.8120097,2.8198512,GREEN_white_led_ids,GREEN,1.51,0.03,0.1095,0.2889,0.072,0.037,17/12/2025,White LED
216,G7,34.91625977,32.02518845,21-01-2026,0.1929092407226562,0.7676006,0.056872375,0.7731022,0.7676006,0.8693901,3.0274534,GREEN_white_led_ids,GREEN,0.98,0.03,0.1572,0.4775,0.119,0.038,17/12/2025,White LED
