label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height,huePlantMean,satPlantMean,valPlantMean,huePlantStd,satPlantStd,valPlantStd,huePlantMedian,satPlantMedian,valPlantMedian,category,Lettuce color,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin,DATE,Illumination
G4,46,585,1401,1385,20251207_142946.jpg,2992,2992,0.1982989342663755,0.8978072290089416,0.3205824099387935,0.0196797193957393,0.1509980354423249,0.0672415393131341,0.1941391941391941,1.0,0.3294117647058823,GREEN_white_blue_led_ids,GREEN,0.61,0.03,0.1773,0.5863,0.147,0.031,2025-12-09,White+Blue LED
G5,359,33,1500,1418,20251207_143054.jpg,2992,2992,0.1976116467439384,0.7419618949865743,0.3141920932560897,0.0181518093986387,0.1140799209954906,0.0614626219293551,0.1944444444444444,0.746268656716418,0.3176470588235294,GREEN_white_blue_led_ids,GREEN,0.6,0.03,0.1895,0.6289,0.157,0.032,2025-12-09,White+Blue LED
R6,747,256,1245,1253,20251207_143358.jpg,2992,2992,0.1075253606483638,0.3102375988659788,0.2451482172503931,0.0372377815586964,0.0898935642176891,0.0518978625984951,0.111111111111111,0.2985074626865671,0.2431372549019607,RED_white_led_ids,RED,0.2,0.03,0.5122,0.4783,0.12,0.393,2025-12-09,White LED
R7,409,115,1591,1566,20251207_143452.jpg,2992,2992,0.1291987719394077,0.5972714136931291,0.2568725155968284,0.0239024114038238,0.2091920361568183,0.0798217813078226,0.1271929824561403,0.5606060606060607,0.2627450980392157,RED_white_led_ids,RED,0.25,0.03,0.5503,0.8727,0.218,0.332,2025-12-09,White LED
R8,0,0,2057,1665,20251207_143606.jpg,2992,2992,0.146630431691622,0.6395933980332918,0.2450969181035979,0.0228777065953309,0.2320786692651539,0.0757631188503104,0.1464646464646465,0.6296296296296297,0.2431372549019607,RED_white_led_ids,RED,0.76,0.03,0.4176,0.7953,0.199,0.219,2025-12-09,White LED
R9,219,41,1657,1599,20251207_143703.jpg,2992,2992,0.1031789851681994,0.305320869059827,0.3152426347102534,0.0263399108379479,0.0764018672642533,0.0542997260597214,0.1041666666666666,0.3090909090909091,0.3215686274509803,RED_white_led_ids,RED,0.27,0.03,0.4936,0.7913,0.198,0.296,2025-12-09,White LED
R10,161,272,1673,1492,20251207_143753.jpg,2992,2992,0.1316804843138419,0.5891173725374923,0.2054294163021698,0.0291780788087698,0.2215966107142317,0.0709968330316079,0.1333333333333333,0.5538461538461539,0.2078431372549019,RED_white_led_ids,RED,0.31,0.03,0.4782,0.8527,0.213,0.265,2025-12-09,White LED
G6,104,99,1830,1962,20251207_144122.jpg,2992,2992,0.1979963777689375,0.9173757424261,0.370499737662767,0.0216305783714191,0.1272050714019012,0.0847122447136364,0.1935483870967741,1.0,0.3803921568627451,GREEN_white_led_ids,GREEN,0.37,0.03,0.1512,0.4618,0.115,0.036,2025-12-09,White LED
G7,285,140,1888,1879,20251207_144357.jpg,2992,2992,0.2009574560265579,0.9226102256753724,0.3544664825674014,0.0228494509071912,0.1267654923594074,0.0901833786804539,0.1964912280701754,1.0,0.3647058823529411,GREEN_white_led_ids,GREEN,0.31,0.03,0.1854,0.5649,0.141,0.044,2025-12-09,White LED
G8,392,17,2011,1871,20251207_144451.jpg,2992,2992,0.2009389481049026,0.9496653954075562,0.3580023340156616,0.0223006944511427,0.094993737280763,0.0766048879795249,0.1994949494949494,1.0,0.3686274509803922,GREEN_white_led_ids,GREEN,0.74,0.03,0.1327,0.3839,0.096,0.037,2025-12-09,White LED
G10,5,214,1731,1805,20251207_144636.jpg,2992,2992,0.1887580261555242,0.958323880605972,0.4189020453602191,0.0184379592291955,0.1041572225457193,0.0843895524454463,0.183080808080808,1.0,0.4274509803921568,GREEN_white_led_ids,GREEN,0.34,0.03,0.1494,0.4207,0.105,0.044,2025-12-09,White LED
R3,425,132,1599,1484,20251207_141814.jpg,2992,2992,0.1435978615644795,0.5728658005984718,0.1619164764327054,0.02999874582961,0.2281379540013864,0.0615780182358819,0.1439393939393939,0.543859649122807,0.1607843137254901,RED_white_blue_led_ids,RED,0.13,0.03,0.8439,0.4231,0.106,0.738,2025-12-09,White+Blue LED
R13,260,330,1616,1616,20251207_145122.jpg,2992,2992,0.1673333402565479,0.8432159560301912,0.2372433875999614,0.0184830131214208,0.194164862628215,0.0758632178625362,0.169047619047619,0.9464285714285714,0.2392156862745098,RED_Shade_ids,RED,0.28,0.03,0.469,0.8322,0.208,0.164,2025-12-09,Shade
C10,260,585,1805,1681,20251207_151445.jpg,2992,2992,0.1826559281030321,0.9688506857639532,0.4367436449297747,0.0169924498471257,0.0833104211315587,0.0847282470077659,0.1768707482993197,1.0,0.4549019607843137,GREEN_Control_ids,GREEN,0.3,0.03,0.1542,0.4561,0.114,0.04,2025-12-09,Control-Sun
C9,194,58,2110,1970,20251207_151405.jpg,2992,2992,0.1810570393879113,0.9834687782847028,0.4419875105779757,0.0146941727524855,0.0562372087141909,0.0750496395917742,0.1778711484593837,1.0,0.4509803921568627,GREEN_Control_ids,GREEN,0.31,0.03,0.1206,0.3526,0.088,0.032,2025-12-09,Control-Sun
C9,13,0,2778,2489,20251216_123908.jpg,2992,2992,0.2086823866555176,0.9753018806299428,0.4143355179989173,0.0237800570928077,0.0881322695102556,0.1096444573814247,0.20578231292517,1.0,0.4196078431372549,GREEN_Control_ids,GREEN,0.67,0.03,0.1455,0.3441,0.086,0.059,2025-12-17,Control-Sun
R15,5,0,2407,2440,20251216_122508.jpg,2992,2992,0.1793817430686987,0.8563086643329791,0.3079700563917914,0.0191590658604742,0.2058723404747759,0.0917294165252935,0.1766381766381766,1.0,0.3019607843137254,RED_Shade_ids,RED,0.45,0.03,0.3403,0.5243,0.131,0.209,2025-12-17,Shade
R1,46,0,2390,2160,20251216_120226.jpg,2992,2992,0.1053766415050019,0.4663384661166445,0.295477681665406,0.0306075602206565,0.2497082427643084,0.0923573694464284,0.0972222222222222,0.4186046511627907,0.2941176470588235,RED_white_blue_led_ids,RED,0.42,0.03,0.3447,0.4428,0.111,0.234,2025-12-17,White+Blue LED
G11,0,8,2989,2522,20251216_122733.jpg,2992,2992,0.2157455439284937,0.9675006262753691,0.4207560269867225,0.0377585820480868,0.0985931713288546,0.1240108240086927,0.20625,1.0,0.4352941176470588,GREEN_Shade_ids,GREEN,0.88,0.03,0.1282,0.3164,0.079,0.049,2025-12-17,Shade
G12,137,17,2539,2333,20251216_122759.jpg,2992,2992,0.2173322066358309,0.9357696161696564,0.499155901836661,0.024257236879438,0.1176241868393692,0.0976063998504038,0.2161016949152542,1.0,0.4941176470588235,GREEN_Shade_ids,GREEN,0.72,0.03,0.1259,0.3516,0.088,0.038,2025-12-17,Shade
G13,392,643,2415,2349,20251216_122823.jpg,2992,2992,0.2189617683960664,0.9396512506583464,0.442308660746762,0.028471164647369,0.115809411518335,0.1069099726133154,0.2142857142857142,1.0,0.4509803921568627,GREEN_Shade_ids,GREEN,0.76,0.03,0.1122,0.2965,0.074,0.038,2025-12-17,Shade
G14,46,338,2399,1953,20251216_122902.jpg,2992,2992,0.2143760831453147,0.9331628522060312,0.4194600087577189,0.0247080329027999,0.1207394068525557,0.1020514627258603,0.2140151515151515,1.0,0.4235294117647059,GREEN_Shade_ids,GREEN,0.49,0.03,0.1265,0.3537,0.088,0.038,2025-12-17,Shade
G15,46,0,2946,2514,20251216_123001.jpg,2992,2992,0.2092358733190262,0.9473772681436952,0.4005160548689016,0.0317472331058445,0.1154465564656374,0.113321739938658,0.203125,1.0,0.4196078431372549,GREEN_Shade_ids,GREEN,0.7,0.03,0.1363,0.3911,0.098,0.039,2025-12-17,Shade
C1,5,17,2934,2440,20251216_123311.jpg,2992,2992,0.1121674134138684,0.6047788679673428,0.3029926565989722,0.0299839307743868,0.2735921023602365,0.1073035475271051,0.1037735849056603,0.573529411764706,0.2980392156862745,RED_Control_ids,RED,0.38,0.03,0.4537,0.3259,0.081,0.372,2025-12-17,Control-Sun
R14,203,0,2761,2555,20251216_122439.jpg,2992,2992,0.1869792465507503,0.8008962443936622,0.4126351362008809,0.018267239046509,0.2237105169833232,0.0921452469547565,0.1825396825396825,0.8924731182795698,0.403921568627451,RED_Shade_ids,RED,0.57,0.03,0.3571,0.5738,0.143,0.214,2025-12-17,Shade
C3,178,41,2283,2407,20251216_123406.jpg,2992,2992,0.1039037246526181,0.5785805798515907,0.2965396979931309,0.0232113097785136,0.2348971544787897,0.0932957253590241,0.0989583333333333,0.5373134328358209,0.2941176470588235,RED_Control_ids,RED,0.79,0.03,0.6139,0.6157,0.154,0.46,2025-12-17,Control-Sun
C4,112,91,2432,2464,20251216_123429.jpg,2992,2992,0.09920312555386,0.526703466068672,0.3027279302479968,0.0215336086699785,0.2233478947884935,0.103032277138843,0.0957446808510637,0.4915254237288136,0.3019607843137254,RED_Control_ids,RED,0.48,0.03,0.5629,0.5422,0.136,0.427,2025-12-17,Control-Sun
C5,5,0,2530,2473,20251216_123452.jpg,2992,2992,0.10710928744919,0.6280100948810865,0.3069061280789243,0.0292948919287968,0.278359766152322,0.1097601767777869,0.1008771929824561,0.6417910447761194,0.2941176470588235,RED_Control_ids,RED,0.29,0.03,0.6089,0.3531,0.088,0.521,2025-12-17,Control-Sun
C6,244,643,2530,2349,20251216_123738.jpg,2992,2992,0.2153769322378965,0.9729198338789626,0.4062855432425561,0.0243470447493498,0.0800031026537096,0.1036453486346594,0.2116788321167883,1.0,0.4,GREEN_Control_ids,GREEN,0.66,0.03,0.1153,0.2914,0.073,0.042,2025-12-17,Control-Sun
